Country	Country ISO3	Country Code	Long Name	Income Group	Lending Category	Region	Currency Unit	Other Groups	WTO Member	latitude	longitude
Afghanistan	AFG	4	Islamic State of Afghanistan	Low income	IDA	South Asia	Afghan afghani	HIPC	No	33.93911	67.709953
Albania	ALB	8	Republic of Albania	Upper middle income	IBRD	Europe & Central Asia	Albanian lek		Yes	41.153332	20.168331
Algeria	DZA	12	People's Democratic Republic of Algeria	Upper middle income	IBRD	Middle East & North Africa	Algerian dinar		No	28.033886	1.659626
American Samoa	ASM	16	American Samoa	Upper middle income		East Asia & Pacific	U.S. dollar		No	-14.270972	-170.132217
Andorra	AND	20		Others					No	42.546245	1.601554
Angola	AGO	24	People's Republic of Angola	Upper middle income	IBRD	Sub-Saharan Africa	Angolan kwanza		Yes	-11.202692	17.873887
Anguila	AIA	660		Others					No		
Antarctica	ATA	10		Others					No	-75.250973	-0.071389
Antigua and Barbuda	ATG	28	Antigua and Barbuda	High income: nonOECD	IBRD	Latin America & Caribbean	East Caribbean dollar		Yes	17.060816	-61.796428
Argentina	ARG	32	Argentine Republic	High income: nonOECD	IBRD	Latin America & Caribbean	Argentine peso		Yes	-38.416097	-63.616672
Armenia	ARM	51	Republic of Armenia	Lower middle income	IBRD	Europe & Central Asia	Armenian dram		Yes	40.069099	45.038189
Aruba	ABW	533	Aruba	High income: nonOECD		Latin America & Caribbean	Aruban florin		No	12.52111	-69.968338
Australia	AUS	36	Commonwealth of Australia	High income: OECD		East Asia & Pacific	Australian dollar		Yes	-25.274398	133.775136
Austria	AUT	40	Republic of Austria	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	47.516231	14.550072
Azerbaijan	AZE	31	Republic of Azerbaijan	Upper middle income	IBRD	Europe & Central Asia	New Azeri manat		No	40.143105	47.576927
Bahamas, The	BHS	44	Commonwealth of The Bahamas	High income: nonOECD		Latin America & Caribbean	Bahamian dollar		No		
Bahrain	BHR	48	Kingdom of Bahrain	High income: nonOECD		Middle East & North Africa	Bahraini dinar		Yes	25.930414	50.637772
Bangladesh	BGD	50	People's Republic of Bangladesh	Lower middle income	IDA	South Asia	Bangladeshi taka		Yes	23.684994	90.356331
Barbados	BRB	52	Barbados	High income: nonOECD		Latin America & Caribbean	Barbados dollar		Yes	13.193887	-59.543198
Belarus	BLR	112	Republic of Belarus	Upper middle income	IBRD	Europe & Central Asia	Belarusian rubel		No	53.709807	27.953389
Belgium	BEL	56	Kingdom of Belgium	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	50.503887	4.469936
Belgium-Luxembourg	BLX	58		Others					No		
